,dataset,prefix,sampling,encoding,classifier,train_type,status
131,BPI11/f2/0-60_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
132,BPI11/f2/0-80_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
133,BPI11/f2/40-60_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
134,BPI11/f2/60-80_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
135,BPI11/f2/0-40_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
136,BPI11/f2/0-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
137,BPI11/f2/0-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
138,BPI11/f2/40-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
139,BPI11/f2/60-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
140,BPI11/f2/0-40_80-100,10,all_in_one,complex,perceptron,traditional,OK
141,BPI11/f2/0-60_80-100,10,all_in_one,complex,perceptron,traditional,OK
142,BPI11/f2/0-80_80-100,10,all_in_one,complex,perceptron,traditional,OK
143,BPI11/f2/40-60_80-100,10,all_in_one,complex,perceptron,incremental,OK
144,BPI11/f2/60-80_80-100,10,all_in_one,complex,perceptron,incremental,OK
145,BPI11/f2/0-40_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
146,BPI11/f2/0-60_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
147,BPI11/f2/0-80_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
148,BPI11/f2/40-60_80-100,10,all_in_one,simpleIndex,perceptron,incremental,OK
149,BPI11/f2/60-80_80-100,10,all_in_one,simpleIndex,perceptron,incremental,OK
150,BPI11/f2/0-40_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
151,BPI11/f2/0-60_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
152,BPI11/f2/0-80_80-100,30,all_in_one,complex,multinomialNB,traditional,OK
153,BPI11/f2/40-60_80-100,30,all_in_one,complex,multinomialNB,incremental,OK
154,BPI11/f2/60-80_80-100,30,all_in_one,complex,multinomialNB,incremental,OK
155,BPI11/f2/0-40_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
156,BPI11/f2/0-60_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
157,BPI11/f2/0-80_80-100,30,all_in_one,simpleIndex,multinomialNB,traditional,OK
158,BPI11/f2/40-60_80-100,30,all_in_one,simpleIndex,multinomialNB,incremental,OK
159,BPI11/f2/60-80_80-100,30,all_in_one,simpleIndex,multinomialNB,incremental,OK
160,BPI11/f2/0-40_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
161,BPI11/f2/0-60_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
162,BPI11/f2/0-80_80-100,30,all_in_one,complex,SGDClassifier,traditional,OK
163,BPI11/f2/40-60_80-100,30,all_in_one,complex,SGDClassifier,incremental,OK
164,BPI11/f2/60-80_80-100,30,all_in_one,complex,SGDClassifier,incremental,OK
165,BPI11/f2/0-40_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
166,BPI11/f2/0-60_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
167,BPI11/f2/0-80_80-100,30,all_in_one,simpleIndex,SGDClassifier,traditional,OK
168,BPI11/f2/40-60_80-100,30,all_in_one,simpleIndex,SGDClassifier,incremental,OK
169,BPI11/f2/60-80_80-100,30,all_in_one,simpleIndex,SGDClassifier,incremental,OK
170,BPI11/f2/0-40_80-100,30,all_in_one,complex,perceptron,traditional,OK
171,BPI11/f2/0-60_80-100,30,all_in_one,complex,perceptron,traditional,OK
172,BPI11/f2/0-80_80-100,30,all_in_one,complex,perceptron,traditional,OK
173,BPI11/f2/40-60_80-100,30,all_in_one,complex,perceptron,incremental,OK
174,BPI11/f2/60-80_80-100,30,all_in_one,complex,perceptron,incremental,OK
175,BPI11/f2/0-40_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
176,BPI11/f2/0-60_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
177,BPI11/f2/0-80_80-100,30,all_in_one,simpleIndex,perceptron,traditional,OK
178,BPI11/f2/40-60_80-100,30,all_in_one,simpleIndex,perceptron,incremental,OK
179,BPI11/f2/60-80_80-100,30,all_in_one,simpleIndex,perceptron,incremental,OK
180,BPI11/f2/0-40_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
181,BPI11/f2/0-60_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
182,BPI11/f2/0-80_80-100,50,all_in_one,complex,multinomialNB,traditional,OK
183,BPI11/f2/40-60_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
184,BPI11/f2/60-80_80-100,50,all_in_one,complex,multinomialNB,incremental,OK
185,BPI11/f2/0-40_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
186,BPI11/f2/0-60_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
187,BPI11/f2/0-80_80-100,50,all_in_one,simpleIndex,multinomialNB,traditional,OK
188,BPI11/f2/40-60_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
189,BPI11/f2/60-80_80-100,50,all_in_one,simpleIndex,multinomialNB,incremental,OK
190,BPI11/f2/0-40_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
191,BPI11/f2/0-60_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
192,BPI11/f2/0-80_80-100,50,all_in_one,complex,SGDClassifier,traditional,OK
193,BPI11/f2/40-60_80-100,50,all_in_one,complex,SGDClassifier,incremental,OK
194,BPI11/f2/60-80_80-100,50,all_in_one,complex,SGDClassifier,incremental,OK
195,BPI11/f2/0-40_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
196,BPI11/f2/0-60_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
197,BPI11/f2/0-80_80-100,50,all_in_one,simpleIndex,SGDClassifier,traditional,OK
198,BPI11/f2/40-60_80-100,50,all_in_one,simpleIndex,SGDClassifier,incremental,OK
199,BPI11/f2/60-80_80-100,50,all_in_one,simpleIndex,SGDClassifier,incremental,OK
200,BPI11/f2/0-40_80-100,50,all_in_one,complex,perceptron,traditional,OK
201,BPI11/f2/0-60_80-100,50,all_in_one,complex,perceptron,traditional,OK
202,BPI11/f2/0-80_80-100,50,all_in_one,complex,perceptron,traditional,OK
203,BPI11/f2/40-60_80-100,50,all_in_one,complex,perceptron,incremental,OK
204,BPI11/f2/60-80_80-100,50,all_in_one,complex,perceptron,incremental,OK
205,BPI11/f2/0-40_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
206,BPI11/f2/0-60_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
207,BPI11/f2/0-80_80-100,50,all_in_one,simpleIndex,perceptron,traditional,OK
208,BPI11/f2/40-60_80-100,50,all_in_one,simpleIndex,perceptron,incremental,OK
209,BPI11/f2/60-80_80-100,50,all_in_one,simpleIndex,perceptron,incremental,OK
210,BPI11/f2/0-40_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
211,BPI11/f2/0-60_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
212,BPI11/f2/0-80_80-100,70,all_in_one,complex,multinomialNB,traditional,OK
213,BPI11/f2/40-60_80-100,70,all_in_one,complex,multinomialNB,incremental,OK
214,BPI11/f2/60-80_80-100,70,all_in_one,complex,multinomialNB,incremental,OK
215,BPI11/f2/0-40_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
216,BPI11/f2/0-60_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
217,BPI11/f2/0-80_80-100,70,all_in_one,simpleIndex,multinomialNB,traditional,OK
218,BPI11/f2/40-60_80-100,70,all_in_one,simpleIndex,multinomialNB,incremental,OK
